n	a	b	b-a	(bP-aP)/(b-a)	
1	9	20	11	2
2	14.5	20	5.5	2
3	17.25	20	2.75	2
4	18.625	20	1.375	2
5	19.3125	20	0.6875	2
6	19.65625	20	0.34375	2
7	19.828125	20	0.171875	2
8	19.9140625	20	0.0859375	2
9	19.95703125	20	0.04296875	2
10	19.978515625	20	0.021484375	2
11	19.9892578125	20	0.0107421875	2
12	19.99462890625	20	0.00537109375	2
13	19.997314453125	20	0.002685546875	2
14	19.9986572265625	20	0.0013427734375	2
15	19.9993286132813	20	0.00067138671875	2
16	19.9996643066406	20	0.000335693359375	2
17	19.9998321533203	20	0.0001678466796875	2
18	19.9999160766602	20	8.392333984375e-005	2
19	19.9999580383301	20	4.1961669921875e-005	2
20	19.999979019165	20	2.09808349609375e-005	2
21	19.9999895095825	20	1.04904174804688e-005	2
22	19.9999947547913	20	5.24520874023438e-006	2
23	19.9999973773956	20	2.62260437011719e-006	2
24	19.9999986886978	20	1.31130218505859e-006	2
25	19.9999993443489	20	6.55651092529297e-007	2
26	19.9999996721745	20	3.27825546264648e-007	2
27	19.9999998360872	20	1.63912773132324e-007	2
28	19.9999999180436	20	8.19563865661621e-008	2
29	19.9999999590218	20	4.09781932830811e-008	2
30	19.9999999795109	20	2.04890966415405e-008	2
31	19.9999999897555	20	1.02445483207703e-008	2
32	19.9999999948777	20	5.12227416038513e-009	2
33	19.9999999974389	20	2.56113708019257e-009	2
34	19.9999999987194	20	1.28056854009628e-009	2
35	19.9999999993597	20	6.40284270048141e-010	2
36	19.9999999996799	20	3.20142135024071e-010	2
37	19.9999999998399	20	1.60071067512035e-010	2
38	19.99999999992	20	8.00355337560177e-011	2
39	19.99999999996	20	4.00177668780088e-011	2
40	19.99999999998	20	2.00088834390044e-011	2
41	19.99999999999	20	1.00044417195022e-011	2
42	19.999999999995	20	5.00222085975111e-012	2
43	19.9999999999975	20	2.50111042987555e-012	2
44	19.9999999999987	20	1.25055521493778e-012	2
45	19.9999999999994	20	6.25277607468888e-013	2
46	19.9999999999997	20	3.12638803734444e-013	2
47	19.9999999999998	20	1.56319401867222e-013	2
48	19.9999999999999	20	7.8159700933611e-014	2
49	20	20	3.90798504668055e-014	2
50	20	20	2.1316282072803e-014	1.83333333333333
51	20	20	1.06581410364015e-014	2
52	20	20	7.105427357601e-015	1.5
53	20	20	3.5527136788005e-015	2
54	20	20	0	1.#INF
108
