n	a	b	b-a	(bP-aP)/(b-a)	
1	-2	11.5967477524977	13.5967477524977	1.61803398874989
2	-2	6.40325224750231	8.40325224750231	1.6180339887499
3	-2	3.19349550499537	5.19349550499537	1.61803398874989
4	-0.0162612375115672	3.19349550499537	3.20975674250694	1.61803398874989
5	1.20975674250694	3.19349550499537	1.98373876248843	1.61803398874989
6	1.20975674250694	2.43577472252545	1.22601798001851	1.61803398874989
7	1.67805394005552	2.43577472252545	0.757720782469927	1.61803398874989
8	1.67805394005552	2.1463511376041	0.46829719754858	1.6180339887499
9	1.85692755268275	2.1463511376041	0.289423584921347	1.61803398874989
10	1.85692755268275	2.03580116530999	0.178873612627234	1.6180339887499
11	1.92525119301587	2.03580116530999	0.110549972294113	1.61803398874989
12	1.96747752497687	2.03580116530999	0.0683236403331202	1.61803398874991
13	1.96747752497687	2.00970385693786	0.0422263319609915	1.6180339887499
14	1.98360654856573	2.00970385693786	0.0260973083721288	1.61803398874989
15	1.99357483334899	2.00970385693786	0.0161290235888631	1.61803398874986
16	1.99357483334899	2.00354311813226	0.00996828478326606	1.61803398874992
17	1.99738237932666	2.00354311813226	0.00616073880559687	1.61803398874988
18	1.99738237932666	2.00118992530433	0.00380754597766919	1.61803398874994
19	1.99883673247641	2.00118992530433	0.00235319282792745	1.61803398874993
20	1.99883673247641	2.00029108562615	0.00145435314974152	1.61803398875004
21	1.99939224594796	2.00029108562615	0.000898839678185714	1.61803398874991
22	1.99973557215459	2.00029108562615	0.000555513471555358	1.61803398875115
23	1.99973557215459	2.00007889836122	0.00034332620662969	1.61803398874975
24	1.9998667110963	2.00007889836122	0.000212187264925667	1.61803398875028
25	1.99994775941952	2.00007889836122	0.000131138941704245	1.61803398874614
26	1.99994775941952	2.00002880774274	8.10483232218662e-005	1.61803398875086
27	1.99997871712426	2.00002880774274	5.00906184823791e-005	1.61803398874736
28	1.99997871712426	2.000009674829	3.09577047397092e-005	1.61803398874492
29	1.99999054191525	2.000009674829	1.91329137428919e-005	1.61803398874415
30	1.99999054191525	2.00000236670625	1.18247909968172e-005	1.61803398876494
31	1.9999950585835	2.00000236670625	7.30812274585269e-006	1.61803398875966
32	1.999997850038	2.00000236670625	4.51666825052044e-006	1.61803398888342
33	1.999997850038	2.00000064149249	2.79145449466611e-006	1.61803398878644
34	1.99999891627874	2.00000064149249	1.72521375585433e-006	1.61803398865422
35	1.99999957525176	2.00000064149249	1.06624073903383e-006	1.61803398866341
36	1.99999957525176	2.00000023422477	6.58973016820497e-007	1.61803398897632
37	1.99999982695705	2.00000023422477	4.07267721991289e-007	1.61803398903926
38	1.99999982695705	2.00000007866235	2.51705294607163e-007	1.6180339894197
39	1.99999992309992	2.00000007866235	1.55562427162081e-007	1.61803398930585
40	1.99999992309992	2.00000001924279	9.61428672230369e-008	1.61803399103129
41	1.99999995982323	2.00000001924279	5.9419559717e-008	1.61803398882356
42	1.99999998251948	2.00000001924279	3.67233072839923e-008	1.61803399834037
43	1.99999998251948	2.00000000521573	2.26962522109631e-008	1.61803397947145
44	1.99999999118867	2.00000000521573	1.40270552950739e-008	1.61803398742812
45	1.99999999654653	2.00000000521573	8.66919713793379e-009	1.61803395076756
46	1.99999999654653	2.00000000190439	5.35785837918468e-009	1.61803402113309
47	1.99999999859305	2.00000000190439	3.31133853670451e-009	1.61803401246823
48	1.99999999859305	2.00000000063957	2.04651962043556e-009	1.61803410220898
49	1.99999999937475	2.00000000063957	1.26481869422435e-009	1.6180339757633
50	1.99999999937475	2.00000000015645	7.8170114825582e-010	1.61803356314173
51	1.99999999967334	2.00000000015645	4.8311776801313e-010	1.61803435934605
52	1.99999999985787	2.00000000015645	2.98583158198085e-010	1.61803422178495
53	1.99999999985787	2.00000000004241	1.84534387770441e-010	1.61803532558668
54	1.99999999992836	2.00000000004241	1.14048548383039e-010	1.61803363906633
55	1.99999999997192	2.00000000004241	7.04858393874019e-011	1.61803490423387
56	1.99999999997192	2.00000000001548	4.3562486951032e-011	1.61803983933778
57	1.99999999998856	2.00000000001548	2.6923130391765e-011	1.61803201623079
58	1.99999999998856	2.0000000000052	1.66393565592671e-011	1.61803915288843
59	1.99999999999492	2.0000000000052	1.02837738324979e-011	1.61802046897266
60	1.99999999999492	2.00000000000127	6.3558047713741e-012	1.61801285634433
61	1.99999999999734	2.00000000000127	3.92819110572873e-012	1.61799785201515
62	1.99999999999884	2.00000000000127	2.42761366564537e-012	1.61812860148175
63	1.99999999999884	2.00000000000034	1.50035539547844e-012	1.61802575107296
64	1.99999999999942	2.00000000000034	9.27258270166931e-013	1.61805555555556
65	1.99999999999977	2.00000000000034	5.73097125311506e-013	1.61797752808989
66	1.99999999999977	2.00000000000012	3.54161144855425e-013	1.61818181818182
67	1.99999999999991	2.00000000000012	2.18935980456081e-013	1.61764705882353
68	1.99999999999991	2.00000000000004	1.35447209004269e-013	1.61639344262295
69	1.99999999999996	2.00000000000004	8.37108160567368e-014	1.61803713527851
70	1.99999999999999	2.00000000000004	5.17363929475323e-014	1.61802575107296
71	1.99999999999999	2.00000000000002	3.21964677141295e-014	1.60689655172414
72	1.99999999999999	2.00000000000001	1.97619698383278e-014	1.62921348314607
73	2	2.00000000000001	1.22124532708767e-014	1.61818181818182
74	2	2	7.32747196252603e-015	1.66666666666667
75	2	2	4.66293670342566e-015	1.57142857142857
76	2	2	2.88657986402541e-015	1.61538461538462
77	2	2	1.99840144432528e-015	1.44444444444444
78	2	2	1.33226762955019e-015	1.5
79	2	2	8.88178419700125e-016	1.5
80
